age,highschool_gpa,college_gpa,internships,projects,certifications,hackathons,communication_skills,technical_skills,aptitude_score,coding_score,attendance_percentage,backlogs,volunteering,english_proficiency,quantitative_score,logical_reasoning,extracurricular,leadership_experience,placed
21,3.99,3.54,1,1,5,2,5,6,77,6,87.85,3,1,7,40,57,1,0,0
21,3.6,3.04,0,4,4,4,7,6,84,48,63.71,0,1,5,26,32,1,1,1
22,3.69,3.41,1,4,3,2,7,1,95,99,63.37,2,1,5,60,51,1,0,1
23,3.27,3.78,0,8,3,4,9,5,53,0,79.12,0,1,2,75,31,2,0,0
23,2.08,3.83,3,6,1,3,2,4,73,64,62.76,2,0,1,12,53,3,0,1
24,2.41,2.56,1,2,1,3,4,1,85,62,82.06,3,1,9,94,0,3,0,0
24,3.85,2.38,0,5,1,1,8,7,64,63,95.44,3,0,10,34,4,0,1,0
20,2.73,2.52,2,4,3,2,5,4,63,25,70.23,4,1,3,24,21,3,1,0
21,2.21,3.5,1,4,3,3,5,3,35,16,97.18,2,1,5,93,94,1,0,0
24,3.4,2.74,3,8,4,0,3,2,78,10,97.11,1,0,8,35,4,2,1,0
23,2.6,2.35,2,5,3,3,5,8,45,66,60.38,0,0,7,20,7,0,1,1
22,2.54,2.2,1,3,5,3,7,5,42,9,71.59,3,1,7,54,69,3,1,0
23,4.0,2.65,1,4,2,2,4,10,41,65,99.51,4,0,10,35,62,2,1,0
21,3.72,2.27,1,1,2,4,8,9,40,31,56.42,4,1,10,27,9,4,0,0
23,2.82,2.31,1,6,1,0,6,5,76,15,73.77,3,1,10,26,61,3,1,0
20,3.96,3.37,0,4,3,0,6,10,89,25,71.59,2,1,4,11,39,2,1,0
21,3.3,2.04,0,6,5,4,6,1,78,73,90.5,4,0,10,73,46,1,1,0
22,3.48,2.24,1,2,2,2,4,10,81,55,58.1,2,1,4,25,79,4,1,0
20,2.06,3.69,3,5,4,3,3,5,90,99,61.08,4,1,10,92,55,0,1,1
21,2.24,3.69,0,9,0,4,10,5,69,93,58.78,0,0,6,44,27,0,1,1
22,3.27,2.66,1,8,4,0,6,8,100,8,58.33,2,1,10,5,55,1,0,0
20,3.8,2.18,1,3,0,0,6,6,82,4,62.89,4,1,4,88,0,2,1,0
20,3.25,3.41,3,1,5,3,2,5,90,6,76.41,3,0,7,7,51,4,0,0
21,2.27,2.72,3,3,4,3,10,8,51,99,85.34,1,0,2,74,81,3,1,1
24,2.23,2.09,3,8,2,1,9,1,67,64,69.02,3,1,7,16,61,1,1,0
20,3.69,2.32,2,3,3,4,4,5,90,90,72.31,2,0,3,37,41,1,0,1
20,2.28,2.27,1,5,0,3,4,3,76,11,89.62,3,1,8,76,46,1,1,0
22,3.04,3.18,3,2,3,1,10,5,56,79,76.26,3,0,5,40,36,1,1,1
23,2.07,3.8,1,1,5,2,8,3,47,47,79.49,1,0,9,14,10,3,1,0
21,2.16,3.59,0,5,3,0,3,4,49,71,75.9,3,1,4,82,66,1,0,0
21,3.34,3.09,1,5,2,4,10,9,71,24,89.49,4,1,5,82,28,0,0,0
24,3.38,2.84,1,6,5,2,7,2,70,12,59.17,0,0,1,73,3,0,0,0
24,2.68,3.24,2,2,1,4,7,10,87,40,99.06,1,1,3,27,94,1,0,1
21,2.43,2.89,0,9,1,4,2,1,69,9,93.97,2,1,4,100,10,2,1,0
24,3.63,2.49,0,2,0,3,3,4,59,39,70.01,4,0,9,24,29,0,1,0
22,2.43,3.36,2,2,2,1,4,8,41,32,70.75,2,0,8,78,78,4,0,0
21,3.08,3.75,3,5,3,4,2,5,91,34,92.45,1,1,2,34,78,2,0,1
24,3.94,2.75,3,9,4,2,9,9,91,36,72.28,1,0,6,79,57,1,1,1
21,2.3,3.68,1,4,4,4,10,10,99,91,75.41,3,0,4,36,31,3,0,1
23,3.88,2.86,2,6,5,1,6,3,44,15,87.3,1,1,5,26,28,2,0,0
20,2.37,2.8,3,2,0,0,1,9,36,71,69.4,2,1,10,4,42,4,0,0
21,3.13,2.06,0,4,0,4,1,1,35,32,72.7,1,1,9,58,91,2,0,0
20,2.75,3.39,2,9,0,2,8,2,56,52,51.86,0,1,4,87,84,0,1,1
24,3.93,3.62,3,2,2,0,6,9,31,34,56.66,3,0,5,65,38,0,1,0
20,2.55,3.33,0,1,4,0,10,9,35,54,72.93,1,1,7,98,10,3,0,0
21,2.8,2.3,2,4,5,3,7,10,90,75,52.28,0,0,7,56,95,2,1,1
23,3.97,2.21,1,4,2,3,6,5,61,78,65.35,2,1,6,60,26,3,1,0
24,3.07,3.15,1,1,5,4,2,10,58,16,71.86,2,0,3,96,23,2,0,0
21,3.01,2.8,0,4,2,2,3,4,94,26,55.08,0,0,1,95,36,1,1,0
24,2.52,2.86,3,3,3,3,8,9,44,20,53.27,0,1,9,59,64,2,0,0
22,3.4,3.94,3,2,2,1,4,10,39,20,50.81,1,0,6,63,31,2,0,0
20,2.03,3.45,2,4,2,1,8,2,39,16,74.27,3,0,3,31,52,1,1,0
22,2.1,2.82,0,8,3,0,3,3,39,26,57.34,3,1,1,15,0,4,0,0
21,3.2,2.04,3,7,1,0,2,8,66,75,84.43,4,1,6,43,55,0,0,0
23,2.68,2.07,1,9,3,0,7,1,61,47,74.65,0,1,3,86,33,2,0,0
24,3.91,3.37,0,8,0,1,1,2,65,43,50.95,2,0,1,89,81,3,0,0
20,3.81,3.68,1,1,1,3,3,5,93,35,52.95,4,0,5,68,28,1,0,0
24,3.43,3.42,0,2,4,3,2,7,44,27,95.89,0,0,1,60,5,4,1,0
21,3.64,2.81,2,2,5,4,5,10,45,24,56.22,0,0,3,70,56,0,0,0
24,3.33,2.06,3,8,2,2,2,9,75,72,87.87,4,0,3,33,94,0,0,0
20,2.25,3.93,3,4,1,1,10,3,73,46,62.31,3,0,6,73,13,3,0,0
21,3.53,3.97,3,9,4,0,5,4,64,100,66.08,0,1,4,85,74,4,0,1
24,2.42,3.1,1,2,3,2,3,10,80,22,51.24,4,1,8,20,68,3,0,0
23,2.65,2.14,3,4,3,0,9,1,87,74,77.81,1,0,3,18,61,0,1,1
21,3.64,3.08,0,1,0,2,10,1,34,49,73.35,1,1,8,51,85,2,1,0
21,3.07,3.78,1,3,0,2,9,1,67,64,87.25,2,1,7,41,50,1,1,0
23,3.72,3.36,2,6,1,3,8,4,35,15,95.28,3,1,2,38,12,1,0,0
22,2.43,3.44,1,9,5,4,5,9,80,49,77.39,4,0,8,44,75,3,0,0
20,3.22,2.17,2,1,2,4,10,8,43,12,97.61,3,0,1,88,3,2,1,0
22,2.17,2.21,1,5,3,0,7,4,77,83,57.41,3,0,9,12,37,0,1,0
24,3.29,2.25,3,2,1,1,2,8,41,79,67.23,4,1,7,42,3,1,0,0
23,3.53,3.81,2,7,1,4,3,7,81,79,91.49,0,1,6,82,29,1,0,1
22,3.17,3.05,3,4,5,1,2,6,97,34,77.67,1,0,8,70,53,3,0,1
21,2.53,3.58,1,5,1,0,10,10,88,31,77.35,2,1,9,94,64,4,1,0
24,2.06,2.23,2,8,0,1,1,2,47,86,73.02,0,0,8,65,60,1,0,1
24,2.24,3.86,0,2,5,2,3,3,82,24,50.93,3,0,6,44,48,3,1,0
22,3.24,3.64,0,3,3,2,4,4,60,42,54.02,3,1,4,3,30,0,0,0
22,3.87,2.45,1,5,0,0,9,7,64,27,54.48,4,1,9,0,41,1,0,0
23,2.41,3.75,2,4,0,1,2,8,33,65,59.47,1,1,8,59,49,3,0,1
20,3.47,2.53,0,5,5,1,9,8,38,66,54.71,1,0,8,49,22,4,1,0
22,3.73,2.41,3,3,5,0,1,4,44,94,55.33,2,1,3,86,77,2,1,1
22,3.04,2.53,3,9,1,4,9,9,71,96,81.84,0,1,10,46,98,1,1,1
21,3.34,3.82,1,8,4,3,6,8,88,32,55.92,2,1,9,16,80,3,0,1
24,3.63,3.83,3,6,4,4,8,5,61,46,73.25,3,1,7,85,59,2,0,0
20,2.52,2.66,3,1,4,3,3,3,74,34,53.16,3,0,1,34,31,4,1,0
21,2.59,3.41,3,4,1,1,8,2,34,99,63.47,1,1,2,7,55,1,0,1
23,2.0,3.35,0,7,2,3,9,9,60,63,96.22,3,0,2,55,55,3,0,0
23,3.93,3.61,2,5,3,3,7,1,54,89,51.55,0,0,1,59,99,2,0,1
22,3.84,2.59,1,4,1,1,4,7,85,11,93.85,0,1,1,54,86,0,0,0
22,3.53,3.02,2,9,1,2,6,7,30,52,87.98,2,1,4,6,33,0,1,0
23,2.16,3.34,2,8,0,3,6,1,90,43,96.05,0,0,7,64,40,3,1,1
22,2.9,2.05,2,3,4,0,2,7,96,45,89.34,3,0,6,24,38,2,1,0
20,2.2,2.75,0,6,5,4,2,1,96,10,91.31,4,1,7,23,85,0,1,0
22,2.03,3.39,3,4,1,1,5,2,71,69,55.39,1,1,8,96,41,1,1,1
24,3.23,2.51,1,7,2,1,1,9,88,88,91.78,1,0,8,74,65,3,1,1
22,3.92,3.92,2,1,3,3,5,8,79,45,73.86,1,1,3,95,19,4,0,1
21,3.81,2.06,3,1,2,2,10,9,63,58,67.58,4,0,7,92,13,1,1,0
20,3.39,3.92,0,6,1,2,3,9,97,58,57.69,3,1,6,64,37,3,0,1
21,2.19,2.43,2,7,1,4,3,4,83,33,50.03,0,1,8,46,36,0,1,0
21,2.55,2.1,3,9,0,4,8,5,43,98,82.13,3,0,3,7,36,4,1,1
24,2.64,2.58,0,7,2,2,3,10,61,20,86.3,2,0,9,44,11,1,0,0
20,3.53,3.57,3,9,0,2,3,7,99,81,69.4,3,0,5,28,91,2,1,1
20,3.6,3.5,1,9,5,2,1,6,37,71,58.21,3,0,2,30,55,4,0,0
20,2.77,2.42,3,8,2,3,8,9,64,97,57.23,1,0,4,56,7,0,1,1
20,2.84,2.39,3,7,4,0,10,2,53,51,58.41,3,0,7,98,92,4,0,0
20,2.09,3.29,1,3,5,4,10,8,32,47,52.81,4,1,1,6,20,0,0,0
24,2.58,2.92,1,3,4,1,6,2,65,77,67.98,1,1,1,30,38,3,0,1
22,2.9,3.58,3,5,2,2,8,2,80,18,80.81,2,1,9,59,47,1,0,0
21,2.23,2.05,1,7,0,2,3,3,86,83,72.36,4,1,3,55,17,3,0,0
20,2.91,3.22,3,7,4,0,6,4,88,3,56.27,4,0,1,31,62,4,0,0
22,3.71,3.46,2,1,1,2,2,6,51,31,90.81,2,0,7,93,82,3,0,0
22,3.16,3.99,3,8,3,4,3,6,66,89,64.35,0,0,7,60,73,1,0,1
21,2.16,3.36,0,1,0,2,4,2,41,27,80.13,3,0,2,60,8,4,0,0
24,2.38,2.46,1,4,5,0,9,6,50,75,62.28,3,1,8,75,86,3,0,0
23,2.95,2.22,2,2,5,3,4,8,44,57,79.75,0,1,3,98,29,3,0,0
23,2.72,3.28,1,5,2,4,7,5,41,73,56.48,2,1,3,63,85,3,0,0
22,2.72,3.05,1,6,5,3,8,1,85,40,82.77,0,1,5,9,58,2,0,1
21,3.06,3.8,1,4,3,1,5,8,45,98,78.66,1,0,2,25,54,4,0,1
23,3.17,3.45,0,4,3,0,2,6,62,32,75.96,1,1,4,68,92,1,0,0
22,3.59,3.02,0,7,1,1,8,2,72,13,60.85,1,0,2,86,69,4,1,0
24,2.68,2.81,3,4,5,1,5,7,78,86,76.46,0,1,9,72,49,4,1,1
23,3.61,2.81,0,2,0,1,5,8,47,81,94.86,4,1,6,96,60,3,1,0
22,2.68,2.45,1,4,3,1,7,2,45,52,56.26,1,0,1,36,34,0,0,0
22,2.11,2.03,2,7,0,0,6,1,69,75,85.19,0,1,9,29,13,3,0,1
20,3.11,3.15,2,1,1,3,3,6,96,41,55.69,1,0,8,96,68,0,1,0
24,3.18,2.42,2,4,2,2,7,6,91,35,66.91,1,1,2,1,45,2,1,0
20,3.87,2.42,1,6,3,1,1,8,56,24,84.19,3,0,3,41,81,2,0,0
21,3.45,2.25,0,8,3,2,4,7,43,51,78.01,0,1,7,67,34,0,1,0
20,3.84,2.38,2,8,3,2,4,8,95,100,83.91,3,0,4,89,93,3,0,1
20,3.82,2.06,1,9,5,1,6,10,56,39,98.17,2,1,8,93,70,3,0,0
23,3.21,3.35,1,5,0,4,6,10,83,85,98.48,1,1,1,34,97,4,0,1
22,3.06,2.8,2,2,3,2,10,5,89,69,95.74,1,0,10,9,41,4,0,1
24,3.11,3.12,2,3,0,4,8,2,69,79,74.74,3,1,4,30,52,2,0,0
20,3.96,3.27,3,2,5,3,1,5,74,61,67.05,0,0,1,78,18,4,1,1
24,3.55,3.94,3,9,4,2,7,2,97,86,63.98,4,1,7,84,44,4,0,1
20,2.21,2.14,1,6,4,0,4,9,97,8,78.78,4,0,9,5,53,4,0,0
21,3.56,2.84,3,1,0,3,6,5,92,98,72.68,2,0,1,64,63,2,1,1
20,2.34,2.49,3,3,5,3,10,1,69,92,99.73,0,1,8,73,74,4,1,1
23,2.89,2.95,2,7,4,4,9,9,70,77,76.78,0,1,10,1,40,0,1,1
22,2.42,3.84,3,7,1,1,3,10,90,68,66.45,3,1,6,8,16,1,1,1
21,3.38,3.45,1,5,1,0,8,5,94,20,81.8,1,1,6,80,10,1,1,0
20,3.75,3.32,2,3,4,0,3,1,30,52,52.19,1,1,8,79,91,4,1,0
24,2.58,2.88,3,7,2,4,6,9,38,69,55.54,0,0,1,65,2,4,0,1
21,2.16,3.34,3,5,0,4,2,9,44,0,83.18,4,1,9,79,9,4,0,0
21,2.6,2.06,3,6,4,3,9,10,88,30,56.17,2,1,6,98,23,0,1,0
20,3.34,3.17,0,3,0,4,2,10,95,44,87.77,3,0,3,58,96,2,0,0
21,2.66,3.11,3,6,5,1,5,9,39,27,53.1,0,0,1,91,55,1,0,0
24,2.56,2.69,3,7,4,3,6,6,78,2,79.69,2,1,4,12,25,3,0,0
21,2.37,2.4,1,8,1,3,4,10,40,86,83.92,0,0,5,5,68,4,0,1
24,3.0,3.62,3,2,5,3,7,10,59,39,88.98,2,0,4,24,23,3,1,1
20,2.55,2.11,0,2,2,0,7,2,52,3,94.28,2,0,7,62,43,0,1,0
22,3.46,2.14,2,6,0,0,7,7,51,69,65.61,1,1,6,58,25,2,1,0
21,2.15,2.88,3,8,2,3,7,2,80,75,85.96,3,1,10,89,70,3,0,1
22,3.33,2.51,3,5,1,1,10,4,71,11,54.04,3,1,5,45,75,4,0,0
24,2.48,3.49,1,1,3,2,10,4,58,61,91.49,1,1,3,14,56,4,0,1
21,2.98,3.27,3,1,3,3,9,10,74,70,94.51,4,0,9,65,35,0,0,1
23,2.57,3.55,3,9,0,4,2,7,62,91,87.43,3,0,3,85,16,4,0,1
22,3.45,2.65,3,4,5,2,5,6,68,89,64.07,1,0,3,41,79,3,1,1
21,3.89,3.48,3,1,1,0,10,10,94,47,53.12,2,0,3,91,94,2,1,1
22,3.83,3.72,2,8,0,0,9,7,79,6,71.08,2,1,8,16,17,4,1,0
21,3.17,2.69,1,2,5,2,2,6,77,56,63.53,3,1,2,22,95,4,0,0
20,2.93,2.68,2,2,0,4,3,1,66,55,76.51,2,0,4,14,65,3,0,0
22,3.64,3.8,0,1,0,0,7,4,62,66,69.69,3,0,8,37,9,2,0,0
23,3.37,2.1,3,1,2,0,9,3,35,12,56.8,0,1,1,55,60,3,1,0
23,2.37,2.7,0,9,4,3,3,7,99,51,91.83,1,0,3,33,38,0,1,1
24,3.64,2.24,2,1,1,1,10,7,84,62,93.23,4,0,4,93,13,4,1,0
21,2.86,2.06,0,6,2,4,8,4,73,40,90.66,3,0,6,64,46,1,1,0
22,2.38,2.23,3,7,5,3,8,7,79,74,60.52,4,0,2,79,9,0,1,0
24,2.56,2.86,0,4,4,1,4,4,83,22,71.42,1,0,7,88,54,1,0,0
22,2.54,3.37,2,5,0,0,6,9,92,46,58.57,1,1,3,86,91,3,1,1
21,3.04,2.58,3,4,3,1,8,3,45,64,83.26,0,1,8,96,23,1,0,1
23,2.47,3.7,1,4,2,0,9,10,76,97,90.25,1,1,2,33,39,2,1,1
20,2.25,2.88,2,1,1,3,2,2,86,30,79.08,2,0,9,72,62,4,1,0
23,2.25,3.94,3,6,1,0,1,5,31,96,77.31,4,1,4,15,33,2,1,1
24,3.17,3.91,1,7,4,1,5,9,66,99,85.75,1,0,8,100,48,2,0,1
20,3.47,3.55,0,7,2,3,10,3,52,35,55.68,1,0,4,49,62,3,0,0
24,2.64,3.86,0,8,0,1,3,1,42,13,62.38,4,1,6,68,8,2,0,0
21,2.07,3.41,0,7,4,1,6,9,94,36,65.68,4,0,8,41,46,1,1,0
20,2.25,3.79,3,6,5,2,1,5,77,31,76.63,0,1,5,61,92,0,0,1
24,3.83,2.47,0,8,1,0,4,2,36,52,98.8,1,1,6,11,44,0,0,0
21,2.99,2.69,0,3,5,0,6,6,60,27,93.15,2,0,2,68,35,0,1,0
23,2.91,3.51,1,9,2,1,2,3,92,64,62.35,2,1,4,86,8,1,0,1
21,2.08,2.85,1,3,3,0,8,9,74,46,61.65,0,1,5,71,10,4,0,1
22,3.46,3.67,1,4,5,4,4,3,85,70,71.78,1,0,1,98,84,1,0,1
21,3.06,3.76,3,6,0,0,2,2,93,79,98.73,4,0,7,79,76,0,1,1
21,2.4,2.6,2,8,1,3,1,3,51,31,57.62,2,0,6,83,23,4,0,0
22,2.22,3.65,0,3,2,0,8,6,92,23,97.85,1,1,4,27,0,3,1,0
24,2.77,2.31,0,6,3,4,10,3,57,13,59.52,0,1,4,29,98,1,0,0
24,3.67,2.67,3,5,1,1,1,9,73,46,94.32,0,1,3,74,98,2,0,1
21,3.73,3.04,0,5,3,0,7,9,43,78,91.51,4,1,1,49,60,2,0,0
22,3.21,2.45,3,5,1,3,7,9,48,0,94.12,0,0,6,16,84,2,1,0
22,3.46,3.16,3,9,4,4,6,2,89,91,94.59,0,0,5,9,68,1,1,1
23,2.23,3.16,3,7,4,2,8,7,31,18,60.91,0,1,6,87,20,3,1,0
24,3.18,2.41,2,9,4,1,10,2,80,57,88.94,2,1,10,94,3,4,1,0
20,3.33,3.59,3,9,2,1,1,1,63,6,84.1,4,0,1,10,96,1,1,0
24,2.4,3.26,2,6,4,1,1,5,80,81,93.95,4,1,2,46,99,1,1,1
24,3.76,2.64,2,6,2,4,1,8,48,76,74.52,4,0,7,7,57,1,1,0
23,2.39,2.46,0,4,0,0,6,3,65,63,70.67,0,0,9,30,71,4,1,0
20,2.63,3.76,1,8,4,0,7,7,55,17,86.31,0,0,6,100,92,3,0,0
23,3.24,3.67,2,2,2,0,10,6,64,62,63.49,2,1,6,36,6,1,0,1
20,3.28,2.46,2,5,1,0,9,1,92,67,91.0,0,0,5,32,0,0,0,1
21,3.4,2.07,1,1,2,1,10,7,33,49,64.3,2,1,5,8,68,4,0,0
20,2.22,3.61,2,2,5,2,5,3,32,67,52.16,4,0,6,45,76,3,1,0
23,3.7,3.23,1,1,2,1,1,4,34,90,77.57,2,1,2,2,63,0,1,0
24,3.07,2.2,0,6,5,2,9,10,58,15,91.8,1,0,10,12,89,1,1,0
20,2.94,3.17,3,2,1,2,5,2,48,13,84.52,3,1,6,27,75,0,1,0
20,3.96,2.9,1,4,2,0,6,1,46,61,99.46,0,1,4,51,7,2,1,0
22,3.48,3.55,3,5,1,3,9,5,63,77,57.04,4,0,3,60,59,3,0,1
24,2.24,2.42,1,7,5,4,2,6,49,6,67.23,3,0,7,23,33,3,1,0
21,3.51,2.91,3,1,3,3,3,2,57,55,69.0,3,0,5,9,85,2,1,0
23,2.19,2.31,0,5,4,2,7,10,96,13,52.91,4,0,10,41,8,0,1,0
21,2.05,3.92,2,4,5,3,3,6,39,41,52.15,3,0,3,36,72,3,1,0
24,2.81,3.56,0,7,0,2,2,6,50,69,51.47,2,1,8,14,44,1,0,0
20,3.99,3.47,2,7,2,1,7,8,33,61,70.44,4,1,5,27,81,2,1,0
20,2.35,3.38,3,8,1,1,8,8,51,42,92.24,4,1,3,36,16,3,1,0
24,3.35,2.85,3,4,4,0,9,6,100,56,85.48,2,1,9,64,6,3,1,1
20,2.35,3.85,2,4,2,4,2,7,91,90,72.34,1,0,2,12,50,4,0,1
20,3.45,2.15,1,5,4,1,2,4,41,74,63.2,1,0,3,58,97,0,1,0
20,3.01,3.61,0,5,3,4,7,5,40,30,50.78,3,0,3,67,15,2,1,0
23,3.36,2.43,1,3,2,0,4,6,51,50,58.77,4,0,1,55,56,3,0,0
23,2.41,2.65,3,5,1,4,5,6,58,66,69.36,2,0,7,29,91,2,0,0
22,3.49,3.04,0,5,3,1,1,3,90,0,68.52,4,1,6,63,24,1,0,0
21,3.99,3.57,0,8,2,1,6,9,90,79,62.97,2,0,6,66,21,4,1,1
24,3.33,3.68,1,7,4,3,10,4,56,43,99.86,1,1,6,19,54,0,0,0
24,2.99,3.17,2,8,3,3,8,8,76,90,72.37,1,1,7,98,33,0,1,1
24,3.85,2.81,2,5,1,3,1,4,43,49,63.39,3,0,6,26,14,1,0,0
22,2.03,3.89,0,2,2,4,2,6,36,59,70.35,2,0,9,11,15,3,1,0
23,3.46,2.49,2,8,4,1,7,1,44,2,63.97,1,1,5,40,15,4,1,0
22,3.78,3.61,3,9,4,0,2,2,75,71,67.6,0,1,1,79,37,0,0,1
24,2.12,3.22,1,2,5,2,9,6,57,79,56.29,1,1,1,95,85,2,0,1
21,2.9,2.75,1,1,3,1,6,3,72,53,50.04,4,0,1,50,92,1,1,0
20,2.41,2.0,1,6,2,3,5,7,39,1,74.58,2,0,2,96,31,0,1,0
23,3.13,2.89,0,3,5,3,7,1,80,28,74.46,0,0,4,79,42,3,0,0
23,3.3,2.55,0,1,4,4,10,3,32,15,57.85,1,1,6,28,87,4,1,0
22,2.61,2.21,2,6,3,3,8,3,73,92,91.63,1,1,7,90,49,0,1,1
23,2.92,2.15,1,8,0,4,9,1,83,94,59.59,2,1,5,94,86,3,1,1
24,2.56,2.7,3,9,4,0,6,4,63,58,88.51,0,0,7,50,56,3,1,1
24,2.74,3.23,3,6,3,3,5,8,94,10,59.51,2,1,2,58,37,1,0,0
22,2.32,3.68,1,6,0,4,7,7,54,95,64.06,1,0,6,87,22,3,1,1
24,3.77,2.37,0,1,3,3,2,7,92,23,63.49,3,0,3,30,88,1,1,0
21,2.02,2.85,0,5,4,4,8,5,99,82,61.48,2,0,9,8,89,2,1,1
22,3.76,2.78,0,3,0,1,4,4,74,31,97.63,1,0,10,99,35,1,1,0
21,3.14,3.03,3,7,3,4,1,10,97,73,63.17,2,0,10,69,49,0,1,1
20,2.66,3.62,1,9,2,2,3,6,55,53,74.25,1,1,4,29,97,1,0,1
21,3.45,3.11,3,6,0,0,9,2,55,55,86.76,2,0,5,89,12,4,1,0
20,3.02,3.69,1,5,3,1,4,1,55,95,65.96,1,0,5,39,96,2,0,1
20,3.0,3.04,3,7,2,0,10,7,91,86,50.59,0,1,2,6,3,1,1,1
21,2.22,3.21,3,9,0,1,10,4,90,96,88.08,4,1,4,71,35,2,0,1
22,2.78,2.87,2,5,3,3,3,7,31,93,64.2,4,1,7,58,62,1,0,0
24,2.48,3.65,3,5,4,4,4,6,70,93,93.66,2,0,2,10,83,3,0,1
24,2.03,3.85,1,4,0,3,3,9,74,70,74.56,1,0,5,2,92,3,1,1
20,2.72,3.28,3,5,0,0,3,10,43,79,81.22,4,0,5,3,78,0,0,0
20,2.18,3.64,2,7,2,0,2,6,66,42,97.55,4,1,5,96,53,3,1,0
22,2.51,2.12,2,3,5,1,6,3,31,52,93.5,2,0,7,19,78,4,1,0
23,2.19,3.81,1,4,5,0,10,7,34,0,89.63,2,1,10,4,76,3,0,0
21,2.2,2.38,2,9,3,4,6,9,31,93,76.54,2,1,7,33,59,4,1,1
20,2.4,2.51,2,2,4,0,10,10,30,97,58.46,3,0,8,13,13,1,0,1
24,4.0,2.11,0,8,2,3,4,6,77,60,92.05,0,1,1,12,59,1,0,0
22,2.0,3.93,1,9,0,4,8,7,51,33,54.7,0,1,3,60,59,4,0,0
21,3.28,3.7,2,5,5,0,6,8,70,60,94.37,0,0,1,48,21,0,0,1
22,2.28,3.83,2,7,2,2,8,4,54,60,88.31,1,0,7,44,64,3,0,1
21,3.84,3.69,2,6,2,2,6,5,75,94,90.17,1,0,5,52,64,4,0,1
21,2.19,2.96,1,1,2,3,9,4,38,7,68.86,0,0,2,23,30,3,0,0
20,3.91,3.85,0,8,0,1,3,1,90,53,54.25,2,0,10,93,96,2,0,0
22,3.22,3.94,3,9,1,1,3,6,76,52,86.35,3,0,2,62,64,0,1,1
22,2.0,3.01,0,1,2,0,2,7,32,19,98.9,0,0,7,74,87,1,0,0
24,3.79,2.35,1,8,1,4,10,2,37,45,92.92,2,1,5,8,21,4,1,0
24,3.04,3.32,1,3,5,1,6,6,54,92,92.07,4,1,4,62,86,2,0,1
20,2.53,3.95,1,6,4,2,7,2,65,30,81.62,3,1,8,55,65,4,0,0
20,3.53,3.74,3,8,5,1,7,10,72,84,55.81,1,0,3,76,85,4,1,1
23,3.85,3.72,1,5,4,2,5,5,79,25,93.16,4,0,3,76,72,4,0,0
24,2.97,3.87,0,8,4,1,6,1,92,94,61.1,4,1,8,95,3,4,0,1
21,2.63,3.79,2,7,5,3,7,3,63,62,63.22,4,0,2,70,88,1,0,0
22,3.58,3.55,2,7,3,4,2,4,39,19,87.79,2,1,3,74,78,1,1,0
20,3.36,3.44,1,7,0,0,10,4,56,21,85.85,0,0,4,41,87,1,1,0
22,3.78,2.53,1,9,1,2,7,2,42,56,53.63,4,0,10,0,6,0,0,0
22,3.39,3.24,3,6,3,1,1,8,80,56,62.6,0,0,3,63,71,1,0,1
23,2.49,3.04,2,6,1,0,6,6,97,25,90.88,4,0,8,91,26,3,0,0
24,3.86,3.72,3,9,0,2,8,9,45,16,97.48,2,0,6,71,90,1,1,0
20,2.21,2.98,3,6,2,2,1,6,41,88,63.32,0,1,3,14,44,4,1,1
22,2.54,2.26,3,7,5,3,1,3,54,100,88.03,1,1,7,68,98,4,0,1
20,3.04,2.01,3,7,3,1,6,2,78,26,75.28,3,1,4,21,60,3,0,0
21,3.13,3.36,0,2,0,0,5,9,45,66,69.0,4,1,3,19,93,2,0,0
23,2.03,3.1,1,8,5,1,3,3,31,55,94.91,4,1,2,67,38,4,1,0
21,3.56,2.66,1,6,3,1,10,6,64,23,77.41,2,1,8,44,92,4,0,0
20,2.72,2.34,3,4,4,4,10,10,51,24,84.59,3,0,8,88,4,1,1,0
20,2.81,2.93,3,7,3,2,7,2,77,9,79.62,0,0,2,79,81,1,1,0
24,3.62,2.2,0,8,2,2,7,7,93,35,82.18,4,0,9,39,78,4,0,0
22,2.76,2.67,3,1,2,4,7,1,96,81,75.86,1,0,7,45,89,3,0,1
22,2.09,2.76,0,4,1,4,6,9,51,44,76.67,1,1,6,90,54,4,0,0
21,2.35,2.93,0,4,3,1,4,1,76,16,92.61,2,0,3,62,1,1,1,0
23,3.91,2.93,3,9,4,2,9,9,69,77,65.13,4,0,3,92,94,1,1,1
22,2.14,2.51,1,6,2,0,9,1,82,57,86.82,2,0,4,11,24,1,0,0
24,2.71,3.7,0,4,1,3,7,1,32,82,63.43,3,1,9,51,88,3,1,0
21,3.01,2.71,1,1,4,4,7,8,35,81,53.54,1,1,8,6,31,4,0,1
21,2.99,2.46,1,8,4,0,8,1,43,22,95.16,1,0,2,87,57,1,0,0
24,2.01,2.35,0,9,4,0,5,8,87,7,70.53,2,1,5,54,21,2,0,0
23,3.0,2.65,2,5,0,1,9,3,36,49,84.16,3,1,10,4,51,1,0,0
24,2.77,2.14,0,5,2,4,6,4,58,15,87.89,0,1,6,46,73,0,0,0
23,3.94,2.07,2,8,0,0,7,2,32,88,89.85,3,0,5,96,60,2,1,0
24,2.32,3.21,0,8,0,3,7,6,42,42,61.32,2,1,1,37,99,1,0,0
